"Plot Title: run_jo_4_20537833"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20537833, SEN S/N: 20537833)","Temp, °F (LGR S/N: 20537833, SEN S/N: 20537833)","Coupler Detached (LGR S/N: 20537833)","End Of File (LGR S/N: 20537833)"
1,12/27/22 01:45:00 PM,15.2147,48.517,Logged,
2,12/27/22 02:00:00 PM,15.2129,48.339,,
3,12/27/22 02:15:00 PM,15.2143,48.339,,
4,12/27/22 02:30:00 PM,15.2172,48.339,,
5,12/27/22 02:45:00 PM,15.2214,48.339,,
6,12/27/22 03:00:00 PM,15.2271,48.339,,
7,12/27/22 03:15:00 PM,15.2327,48.339,,
8,12/27/22 03:30:00 PM,15.2369,48.339,,
9,12/27/22 03:45:00 PM,15.2440,48.339,,
10,12/27/22 04:00:00 PM,15.2512,48.339,,
11,12/27/22 04:15:00 PM,15.2568,48.339,,
12,12/27/22 04:30:00 PM,15.2654,48.339,,
13,12/27/22 04:45:00 PM,15.2710,48.339,,
14,12/27/22 05:00:00 PM,15.2781,48.339,,
15,12/27/22 05:15:00 PM,15.2852,48.339,,
16,12/27/22 05:30:00 PM,15.2936,48.339,,
17,12/27/22 05:45:00 PM,15.2966,48.339,,
18,12/27/22 06:00:00 PM,15.3037,48.339,,
19,12/27/22 06:15:00 PM,15.3064,48.339,,
20,12/27/22 06:30:00 PM,15.3150,48.339,,
21,12/27/22 06:45:00 PM,15.3235,48.339,,
22,12/27/22 07:00:00 PM,15.3334,48.339,,
23,12/27/22 07:15:00 PM,15.3419,48.339,,
24,12/27/22 07:30:00 PM,15.3533,48.339,,
25,12/27/22 07:45:00 PM,15.3604,48.339,,
26,12/27/22 08:00:00 PM,15.3731,48.339,,
27,12/27/22 08:15:00 PM,15.3802,48.339,,
28,12/27/22 08:30:00 PM,15.3915,48.339,,
29,12/27/22 08:45:00 PM,15.4029,48.339,,
30,12/27/22 09:00:00 PM,15.4143,48.339,,
31,12/27/22 09:15:00 PM,15.4214,48.339,,
32,12/27/22 09:30:00 PM,15.4227,48.339,,
33,12/27/22 09:45:00 PM,15.4313,48.339,,
34,12/27/22 10:00:00 PM,15.4369,48.339,,
35,12/27/22 10:15:00 PM,15.4441,48.339,,
36,12/27/22 10:30:00 PM,15.4483,48.339,,
37,12/27/22 10:45:00 PM,15.4541,48.339,,
38,12/27/22 11:00:00 PM,15.4554,48.339,,
39,12/27/22 11:15:00 PM,15.4654,48.339,,
40,12/27/22 11:30:00 PM,15.4681,48.339,,
41,12/27/22 11:45:00 PM,15.4781,48.339,,
42,12/28/22 12:00:00 AM,15.4823,48.339,,
43,12/28/22 12:15:00 AM,15.4895,48.339,,
44,12/28/22 12:30:00 AM,15.4966,48.339,,
45,12/28/22 12:45:00 AM,15.5022,48.339,,
46,12/28/22 01:00:00 AM,15.5051,48.339,,
47,12/28/22 01:15:00 AM,15.5093,48.339,,
48,12/28/22 01:30:00 AM,15.5122,48.339,,
49,12/28/22 01:45:00 AM,15.5164,48.339,,
50,12/28/22 02:00:00 AM,15.5179,48.339,,
51,12/28/22 02:15:00 AM,15.5206,48.339,,
52,12/28/22 02:30:00 AM,15.5235,48.339,,
53,12/28/22 02:45:00 AM,15.5264,48.339,,
54,12/28/22 03:00:00 AM,15.5335,48.339,,
55,12/28/22 03:15:00 AM,15.5348,48.339,,
56,12/28/22 03:30:00 AM,15.5420,48.339,,
57,12/28/22 03:45:00 AM,15.5420,48.339,,
58,12/28/22 04:00:00 AM,15.5476,48.339,,
59,12/28/22 04:15:00 AM,15.5491,48.339,,
60,12/28/22 04:30:00 AM,15.5515,48.160,,
61,12/28/22 04:45:00 AM,15.5559,48.160,,
62,12/28/22 05:00:00 AM,15.5572,48.160,,
63,12/28/22 05:15:00 AM,15.5647,48.339,,
64,12/28/22 05:30:00 AM,15.5643,48.160,,
65,12/28/22 05:45:00 AM,15.5686,48.160,,
66,12/28/22 06:00:00 AM,15.5714,48.160,,
67,12/28/22 06:15:00 AM,15.5728,48.160,,
68,12/28/22 06:30:00 AM,15.5800,48.160,,
69,12/28/22 06:45:00 AM,15.5814,48.160,,
70,12/28/22 07:00:00 AM,15.5842,48.160,,
71,12/28/22 07:15:00 AM,15.5885,48.160,,
72,12/28/22 07:30:00 AM,15.5885,48.160,,
73,12/28/22 07:45:00 AM,15.5913,48.160,,
74,12/28/22 08:00:00 AM,15.5927,48.160,,
75,12/28/22 08:15:00 AM,15.5927,48.160,,
76,12/28/22 08:30:00 AM,15.5984,48.160,,
77,12/28/22 08:45:00 AM,15.5998,48.160,,
78,12/28/22 09:00:00 AM,15.6040,48.160,,
79,12/28/22 09:15:00 AM,15.6055,48.160,,
80,12/28/22 09:30:00 AM,15.6098,48.160,,
81,12/28/22 09:45:00 AM,15.6126,48.160,,
82,12/28/22 10:00:00 AM,15.6169,48.160,,
83,12/28/22 10:15:00 AM,15.6197,48.160,,
84,12/28/22 10:30:00 AM,15.6226,48.160,,
85,12/28/22 10:45:00 AM,15.6239,48.160,,
86,12/28/22 11:00:00 AM,15.6283,48.160,,
87,12/28/22 11:15:00 AM,15.6297,48.160,,
88,12/28/22 11:30:00 AM,15.6297,48.160,,
89,12/28/22 11:45:00 AM,15.6283,48.160,,
90,12/28/22 12:00:00 PM,15.6268,48.160,,
91,12/28/22 12:15:00 PM,15.6254,48.160,,
92,12/28/22 12:30:00 PM,15.6239,48.160,,
93,12/28/22 12:45:00 PM,15.6239,48.160,,
94,12/28/22 01:00:00 PM,15.6226,48.160,,
95,12/28/22 01:15:00 PM,15.6182,48.160,,
96,12/28/22 01:30:00 PM,15.6169,48.160,,
97,12/28/22 01:45:00 PM,15.6155,48.160,,
98,12/28/22 02:00:00 PM,15.6155,48.160,,
99,12/28/22 02:15:00 PM,15.6155,48.160,,
100,12/28/22 02:30:00 PM,15.6126,48.160,,
101,12/28/22 02:45:00 PM,15.6140,48.160,,
102,12/28/22 03:00:00 PM,15.6155,48.160,,
103,12/28/22 03:15:00 PM,15.6140,48.160,,
104,12/28/22 03:30:00 PM,15.6111,48.160,,
105,12/28/22 03:45:00 PM,15.6140,48.160,,
106,12/28/22 04:00:00 PM,15.6169,48.160,,
107,12/28/22 04:15:00 PM,15.6155,48.160,,
108,12/28/22 04:30:00 PM,15.6155,48.160,,
109,12/28/22 04:45:00 PM,15.6111,48.160,,
110,12/28/22 05:00:00 PM,15.6111,48.160,,
111,12/28/22 05:15:00 PM,15.6084,48.160,,
112,12/28/22 05:30:00 PM,15.6084,48.160,,
113,12/28/22 05:45:00 PM,15.6084,48.160,,
114,12/28/22 06:00:00 PM,15.6055,48.160,,
115,12/28/22 06:15:00 PM,15.6040,48.160,,
116,12/28/22 06:30:00 PM,15.6013,48.160,,
117,12/28/22 06:45:00 PM,15.6027,48.160,,
118,12/28/22 07:00:00 PM,15.6040,48.160,,
119,12/28/22 07:15:00 PM,15.6027,48.160,,
120,12/28/22 07:30:00 PM,15.6027,48.160,,
121,12/28/22 07:45:00 PM,15.6013,48.160,,
122,12/28/22 08:00:00 PM,15.5998,48.160,,
123,12/28/22 08:15:00 PM,15.5956,48.160,,
124,12/28/22 08:30:00 PM,15.5969,48.160,,
125,12/28/22 08:45:00 PM,15.5927,48.160,,
126,12/28/22 09:00:00 PM,15.5913,48.160,,
127,12/28/22 09:15:00 PM,15.5898,48.160,,
128,12/28/22 09:30:00 PM,15.5856,48.160,,
129,12/28/22 09:45:00 PM,15.5856,48.160,,
130,12/28/22 10:00:00 PM,15.5856,48.160,,
131,12/28/22 10:15:00 PM,15.5842,48.160,,
132,12/28/22 10:30:00 PM,15.5842,48.160,,
133,12/28/22 10:45:00 PM,15.5856,48.160,,
134,12/28/22 11:00:00 PM,15.5842,48.160,,
135,12/28/22 11:15:00 PM,15.5856,48.160,,
136,12/28/22 11:30:00 PM,15.5842,48.160,,
137,12/28/22 11:45:00 PM,15.5785,48.160,,
138,12/29/22 12:00:00 AM,15.5771,48.160,,
139,12/29/22 12:15:00 AM,15.5771,48.160,,
140,12/29/22 12:30:00 AM,15.5757,48.160,,
141,12/29/22 12:45:00 AM,15.5672,48.160,,
142,12/29/22 01:00:00 AM,15.5643,48.160,,
143,12/29/22 01:15:00 AM,15.5572,48.160,,
144,12/29/22 01:30:00 AM,15.5544,48.160,,
145,12/29/22 01:45:00 AM,15.5530,48.160,,
146,12/29/22 02:00:00 AM,15.5530,48.160,,
147,12/29/22 02:15:00 AM,15.5501,48.160,,
148,12/29/22 02:30:00 AM,15.5488,48.160,,
149,12/29/22 02:45:00 AM,15.5501,48.160,,
150,12/29/22 03:00:00 AM,15.5444,48.160,,
151,12/29/22 03:15:00 AM,15.5473,48.160,,
152,12/29/22 03:30:00 AM,15.5488,48.160,,
153,12/29/22 03:45:00 AM,15.5473,48.160,,
154,12/29/22 04:00:00 AM,15.5444,48.160,,
155,12/29/22 04:15:00 AM,15.5430,48.160,,
156,12/29/22 04:30:00 AM,15.5388,48.160,,
157,12/29/22 04:45:00 AM,15.5373,48.160,,
158,12/29/22 05:00:00 AM,15.5302,48.160,,
159,12/29/22 05:15:00 AM,15.5275,48.160,,
160,12/29/22 05:30:00 AM,15.5189,48.160,,
161,12/29/22 05:45:00 AM,15.5160,48.160,,
162,12/29/22 06:00:00 AM,15.5118,48.160,,
163,12/29/22 06:15:00 AM,15.5118,48.160,,
164,12/29/22 06:30:00 AM,15.5061,48.160,,
165,12/29/22 06:45:00 AM,15.5019,48.160,,
166,12/29/22 07:00:00 AM,15.4990,48.160,,
167,12/29/22 07:15:00 AM,15.4934,48.160,,
168,12/29/22 07:30:00 AM,15.4905,48.160,,
