"Plot Title: RUT_JO_W2_20822634"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20822634, SEN S/N: 20822634)","Temp, °F (LGR S/N: 20822634, SEN S/N: 20822634)","Coupler Detached (LGR S/N: 20822634)","Coupler Attached (LGR S/N: 20822634)","Host Connected (LGR S/N: 20822634)","End Of File (LGR S/N: 20822634)"
1,06/12/24 02:00:00 PM,15.5000,49.228,Logged,,,
2,06/12/24 02:30:00 PM,15.4957,49.228,,,,
3,06/12/24 03:00:00 PM,15.4928,49.228,,,,
4,06/12/24 03:30:00 PM,15.4841,49.228,,,,
5,06/12/24 04:00:00 PM,15.4797,49.228,,,,
6,06/12/24 04:30:00 PM,15.4783,49.228,,,,
7,06/12/24 05:00:00 PM,15.4710,49.228,,,,
8,06/12/24 05:30:00 PM,15.4681,49.228,,,,
9,06/12/24 06:00:00 PM,15.4623,49.228,,,,
10,06/12/24 06:30:00 PM,15.4580,49.228,,,,
11,06/12/24 07:00:00 PM,15.4522,49.228,,,,
12,06/12/24 07:30:00 PM,15.4493,49.228,,,,
13,06/12/24 08:00:00 PM,15.4478,49.228,,,,
14,06/12/24 08:30:00 PM,15.4507,49.228,,,,
15,06/12/24 09:00:00 PM,15.4478,49.228,,,,
16,06/12/24 09:30:00 PM,15.4478,49.228,,,,
17,06/12/24 10:00:00 PM,15.4493,49.228,,,,
18,06/12/24 10:30:00 PM,15.4493,49.228,,,,
19,06/12/24 11:00:00 PM,15.4493,49.228,,,,
20,06/12/24 11:30:00 PM,15.4478,49.228,,,,
21,06/13/24 12:00:00 AM,15.4422,49.228,,,,
22,06/13/24 12:30:00 AM,15.4422,49.228,,,,
23,06/13/24 01:00:00 AM,15.4378,49.228,,,,
24,06/13/24 01:30:00 AM,15.4320,49.228,,,,
25,06/13/24 02:00:00 AM,15.4320,49.228,,,,
26,06/13/24 02:30:00 AM,15.4277,49.228,,,,
27,06/13/24 03:00:00 AM,15.4262,49.228,,,,
28,06/13/24 03:30:00 AM,15.4248,49.228,,,,
29,06/13/24 04:00:00 AM,15.4233,49.228,,,,
30,06/13/24 04:30:00 AM,15.4219,49.228,,,,
31,06/13/24 05:00:00 AM,15.4204,49.228,,,,
32,06/13/24 05:30:00 AM,15.4219,49.228,,,,
33,06/13/24 06:00:00 AM,15.4204,49.228,,,,
34,06/13/24 06:30:00 AM,15.4204,49.228,,,,
35,06/13/24 07:00:00 AM,15.4190,49.228,,,,
36,06/13/24 07:30:00 AM,15.4161,49.228,,,,
37,06/13/24 08:00:00 AM,15.4175,49.228,,,,
38,06/13/24 08:30:00 AM,15.4132,49.228,,,,
39,06/13/24 09:00:00 AM,15.4088,49.228,,,,
40,06/13/24 09:30:00 AM,15.4074,49.228,,,,
41,06/13/24 10:00:00 AM,15.4059,49.228,,,,
42,06/13/24 10:30:00 AM,15.4001,49.228,,,,
43,06/13/24 11:00:00 AM,15.3958,49.228,,,,
44,06/13/24 11:30:00 AM,15.3929,49.228,,,,
45,06/13/24 12:00:00 PM,15.3914,49.228,,,,
46,06/13/24 12:30:00 PM,15.3871,49.228,,,,
47,06/13/24 01:00:00 PM,15.3871,49.228,,,,
48,06/13/24 01:30:00 PM,15.3798,49.228,,,,
49,06/13/24 02:00:00 PM,15.3798,49.228,,,,
50,06/13/24 02:30:00 PM,15.3725,49.228,,,,
51,06/13/24 03:00:00 PM,15.3653,49.228,,,,
52,06/13/24 03:30:00 PM,15.3696,49.228,,,,
53,06/13/24 04:00:00 PM,15.3638,49.228,,,,
54,06/13/24 04:30:00 PM,15.3638,49.228,,,,
55,06/13/24 05:00:00 PM,15.3638,49.228,,,,
56,06/13/24 05:30:00 PM,15.3595,49.228,,,,
57,06/13/24 06:00:00 PM,15.3624,49.228,,,,
58,06/13/24 06:30:00 PM,15.3624,49.228,,,,
59,06/13/24 07:00:00 PM,15.3624,49.228,,,,
60,06/13/24 07:30:00 PM,15.3609,49.228,,,,
61,06/13/24 08:00:00 PM,15.3609,49.228,,,,
62,06/13/24 08:30:00 PM,15.3653,49.228,,,,
63,06/13/24 09:00:00 PM,15.3638,49.228,,,,
64,06/13/24 09:30:00 PM,15.3653,49.228,,,,
65,06/13/24 10:00:00 PM,15.3740,49.228,,,,
66,06/13/24 10:30:00 PM,15.3784,49.228,,,,
67,06/13/24 11:00:00 PM,15.3813,49.228,,,,
68,06/13/24 11:30:00 PM,15.3871,49.228,,,,
