"Plot Title: RUT_JO_W3_20632238"
"#","Date Time, GMT-07:00","Abs Pres, psi (LGR S/N: 20632238, SEN S/N: 20632238)","Temp, °F (LGR S/N: 20632238, SEN S/N: 20632238)","Coupler Detached (LGR S/N: 20632238)","End Of File (LGR S/N: 20632238)"
1,12/27/22 01:30:00 PM,14.4778,44.013,Logged,
2,12/27/22 01:45:00 PM,14.4833,43.648,,
3,12/27/22 02:00:00 PM,14.4896,43.648,,
4,12/27/22 02:15:00 PM,14.4926,43.648,,
5,12/27/22 02:30:00 PM,14.4971,43.648,,
6,12/27/22 02:45:00 PM,14.5032,43.648,,
7,12/27/22 03:00:00 PM,14.5094,43.648,,
8,12/27/22 03:15:00 PM,14.5155,43.648,,
9,12/27/22 03:30:00 PM,14.5232,43.648,,
10,12/27/22 03:45:00 PM,14.5274,43.466,,
11,12/27/22 04:00:00 PM,14.5367,43.466,,
12,12/27/22 04:15:00 PM,14.5412,43.466,,
13,12/27/22 04:30:00 PM,14.5489,43.466,,
14,12/27/22 04:45:00 PM,14.5550,43.466,,
15,12/27/22 05:00:00 PM,14.5643,43.466,,
16,12/27/22 05:15:00 PM,14.5673,43.466,,
17,12/27/22 05:30:00 PM,14.5748,43.466,,
18,12/27/22 05:45:00 PM,14.5779,43.466,,
19,12/27/22 06:00:00 PM,14.5825,43.466,,
20,12/27/22 06:15:00 PM,14.5872,43.466,,
21,12/27/22 06:30:00 PM,14.5933,43.466,,
22,12/27/22 06:45:00 PM,14.6024,43.466,,
23,12/27/22 07:00:00 PM,14.6101,43.466,,
24,12/27/22 07:15:00 PM,14.6192,43.466,,
25,12/27/22 07:30:00 PM,14.6300,43.466,,
26,12/27/22 07:45:00 PM,14.6407,43.466,,
27,12/27/22 08:00:00 PM,14.6545,43.466,,
28,12/27/22 08:15:00 PM,14.6622,43.466,,
29,12/27/22 08:30:00 PM,14.6759,43.466,,
30,12/27/22 08:45:00 PM,14.6867,43.466,,
31,12/27/22 09:00:00 PM,14.6988,43.466,,
32,12/27/22 09:15:00 PM,14.7065,43.466,,
33,12/27/22 09:30:00 PM,14.7081,43.466,,
34,12/27/22 09:45:00 PM,14.7173,43.466,,
35,12/27/22 10:00:00 PM,14.7234,43.466,,
36,12/27/22 10:15:00 PM,14.7296,43.466,,
37,12/27/22 10:30:00 PM,14.7357,43.466,,
38,12/27/22 10:45:00 PM,14.7448,43.466,,
39,12/27/22 11:00:00 PM,14.7495,43.466,,
40,12/27/22 11:15:00 PM,14.7556,43.466,,
41,12/27/22 11:30:00 PM,14.7632,43.466,,
42,12/27/22 11:45:00 PM,14.7754,43.466,,
43,12/28/22 12:00:00 AM,14.7817,43.466,,
44,12/28/22 12:15:00 AM,14.7908,43.466,,
45,12/28/22 12:30:00 AM,14.7985,43.466,,
46,12/28/22 12:45:00 AM,14.8062,43.466,,
47,12/28/22 01:00:00 AM,14.8123,43.466,,
48,12/28/22 01:15:00 AM,14.8184,43.466,,
49,12/28/22 01:30:00 AM,14.8200,43.466,,
