"Plot Title: RUT_JO_W3_20632238"
"#","Date Time, GMT-07:00","Abs Pres, mbar (LGR S/N: 20632238, SEN S/N: 20632238)","Temp, °C (LGR S/N: 20632238, SEN S/N: 20632238)","Coupler Detached (LGR S/N: 20632238)","Coupler Attached (LGR S/N: 20632238)","Host Connected (LGR S/N: 20632238)","End Of File (LGR S/N: 20632238)"
1,12/04/24 12:30:00 PM,1021.8,9.472,Logged,,,
2,12/04/24 01:00:00 PM,1021.4,9.472,,,,
3,12/04/24 01:30:00 PM,1021.4,9.472,,,,
4,12/04/24 02:00:00 PM,1021.6,9.472,,,,
5,12/04/24 02:30:00 PM,1021.6,9.472,,,,
6,12/04/24 03:00:00 PM,1021.7,9.472,,,,
7,12/04/24 03:30:00 PM,1021.2,9.472,,,,
8,12/04/24 04:00:00 PM,1020.9,9.472,,,,
9,12/04/24 04:30:00 PM,1020.3,9.472,,,,
10,12/04/24 05:00:00 PM,1019.8,9.472,,,,
11,12/04/24 05:30:00 PM,1018.8,9.472,,,,
12,12/04/24 06:00:00 PM,1019.2,9.472,,,,
13,12/04/24 06:30:00 PM,1019.2,9.472,,,,
14,12/04/24 07:00:00 PM,1019.2,9.472,,,,
15,12/04/24 07:30:00 PM,1019.0,9.472,,,,
16,12/04/24 08:00:00 PM,1019.6,9.472,,,,
17,12/04/24 08:30:00 PM,1020.3,9.472,,,,
18,12/04/24 09:00:00 PM,1021.2,9.472,,,,
19,12/04/24 09:30:00 PM,1021.5,9.472,,,,
20,12/04/24 10:00:00 PM,1021.4,9.472,,,,
21,12/04/24 10:30:00 PM,1021.3,9.373,,,,
22,12/04/24 11:00:00 PM,1020.8,9.373,,,,
23,12/04/24 11:30:00 PM,1020.4,9.373,,,,
24,12/05/24 12:00:00 AM,1020.5,9.373,,,,
25,12/05/24 12:30:00 AM,1020.4,9.373,,,,
26,12/05/24 01:00:00 AM,1021.1,9.373,,,,
27,12/05/24 01:30:00 AM,1021.3,9.373,,,,
28,12/05/24 02:00:00 AM,1021.6,9.373,,,,
29,12/05/24 02:30:00 AM,1021.5,9.373,,,,
30,12/05/24 03:00:00 AM,1021.5,9.373,,,,
31,12/05/24 03:30:00 AM,1021.7,9.373,,,,
32,12/05/24 04:00:00 AM,1021.7,9.373,,,,
33,12/05/24 04:30:00 AM,1021.5,9.373,,,,
34,12/05/24 05:00:00 AM,1021.5,9.373,,,,
