"Plot Title: SGW2_20915290"
"#","Date Time, GMT-07:00","Abs Pres, mbar (LGR S/N: 20915290, SEN S/N: 20915290)","Temp, °C (LGR S/N: 20915290, SEN S/N: 20915290)","Coupler Detached (LGR S/N: 20915290)","Coupler Attached (LGR S/N: 20915290)","Host Connected (LGR S/N: 20915290)","End Of File (LGR S/N: 20915290)"
1,03/14/25 12:30:00 PM,1038.3,8.879,Logged,,,
2,03/14/25 12:45:00 PM,1037.4,7.782,,,,
3,03/14/25 01:00:00 PM,1037.2,7.682,,,,
4,03/14/25 01:15:00 PM,1037.1,7.582,,,,
5,03/14/25 01:30:00 PM,1036.9,7.582,,,,
6,03/14/25 01:45:00 PM,1036.6,7.582,,,,
7,03/14/25 02:00:00 PM,1036.4,7.582,,,,
8,03/14/25 02:15:00 PM,1036.6,7.582,,,,
9,03/14/25 02:30:00 PM,1036.4,7.582,,,,
10,03/14/25 02:45:00 PM,1036.2,7.582,,,,
11,03/14/25 03:00:00 PM,1036.2,7.582,,,,
12,03/14/25 03:15:00 PM,1036.1,7.582,,,,
13,03/14/25 03:30:00 PM,1036.1,7.582,,,,
14,03/14/25 03:45:00 PM,1035.9,7.582,,,,
15,03/14/25 04:00:00 PM,1035.8,7.582,,,,
16,03/14/25 04:15:00 PM,1035.8,7.582,,,,
17,03/14/25 04:30:00 PM,1035.7,7.582,,,,
18,03/14/25 04:45:00 PM,1035.6,7.582,,,,
19,03/14/25 05:00:00 PM,1035.4,7.582,,,,
20,03/14/25 05:15:00 PM,1035.4,7.582,,,,
21,03/14/25 05:30:00 PM,1035.3,7.582,,,,
22,03/14/25 05:45:00 PM,1035.3,7.582,,,,
23,03/14/25 06:00:00 PM,1035.2,7.582,,,,
24,03/14/25 06:15:00 PM,1035.2,7.582,,,,
25,03/14/25 06:30:00 PM,1035.3,7.582,,,,
26,03/14/25 06:45:00 PM,1035.2,7.582,,,,
27,03/14/25 07:00:00 PM,1035.2,7.582,,,,
28,03/14/25 07:15:00 PM,1035.1,7.582,,,,
29,03/14/25 07:30:00 PM,1035.0,7.582,,,,
30,03/14/25 07:45:00 PM,1035.0,7.582,,,,
31,03/14/25 08:00:00 PM,1035.0,7.582,,,,
32,03/14/25 08:15:00 PM,1034.8,7.582,,,,
33,03/14/25 08:30:00 PM,1034.7,7.582,,,,
34,03/14/25 08:45:00 PM,1034.3,7.582,,,,
35,03/14/25 09:00:00 PM,1034.5,7.582,,,,
36,03/14/25 09:15:00 PM,1034.3,7.582,,,,
37,03/14/25 09:30:00 PM,1034.2,7.582,,,,
38,03/14/25 09:45:00 PM,1034.3,7.582,,,,
39,03/14/25 10:00:00 PM,1034.1,7.582,,,,
40,03/14/25 10:15:00 PM,1034.1,7.582,,,,
41,03/14/25 10:30:00 PM,1033.8,7.582,,,,
42,03/14/25 10:45:00 PM,1033.6,7.582,,,,
43,03/14/25 11:00:00 PM,1033.5,7.582,,,,
44,03/14/25 11:15:00 PM,1033.6,7.582,,,,
45,03/14/25 11:30:00 PM,1033.3,7.582,,,,
46,03/14/25 11:45:00 PM,1033.5,7.582,,,,
47,03/15/25 12:00:00 AM,1033.2,7.582,,,,
48,03/15/25 12:15:00 AM,1033.1,7.582,,,,
49,03/15/25 12:30:00 AM,1033.0,7.582,,,,
50,03/15/25 12:45:00 AM,1032.7,7.582,,,,
51,03/15/25 01:00:00 AM,1032.7,7.582,,,,
52,03/15/25 01:15:00 AM,1032.3,7.582,,,,
53,03/15/25 01:30:00 AM,1032.2,7.582,,,,
54,03/15/25 01:45:00 AM,1032.2,7.582,,,,
55,03/15/25 02:00:00 AM,1032.1,7.582,,,,
56,03/15/25 02:15:00 AM,1032.1,7.582,,,,
57,03/15/25 02:30:00 AM,1032.1,7.582,,,,
58,03/15/25 02:45:00 AM,1032.1,7.582,,,,
59,03/15/25 03:00:00 AM,1032.0,7.582,,,,
60,03/15/25 03:15:00 AM,1031.8,7.582,,,,
61,03/15/25 03:30:00 AM,1031.6,7.582,,,,
62,03/15/25 03:45:00 AM,1031.6,7.582,,,,
63,03/15/25 04:00:00 AM,1032.0,7.582,,,,
